Country.Name,Country.Code,Year,GNI.caput
Mongolia,MNG,1964,NA
Montenegro,MNE,1964,NA
Morocco,MAR,1964,200
Mozambique,MOZ,1964,NA
Myanmar,MMR,1964,NA
Namibia,NAM,1964,NA
Nepal,NPL,1964,50
New Zealand,NZL,1964,NA
Nicaragua,NIC,1964,170
Niger,NER,1964,160
Nigeria,NGA,1964,110
Norway,NOR,1964,1860
Pakistan,PAK,1964,100
Panama,PAN,1964,510
Paraguay,PRY,1964,NA
Peru,PER,1964,340
Philippines,PHL,1964,170
Poland,POL,1964,NA
Portugal,PRT,1964,470
Romania,ROM,1964,NA
Rwanda,RWA,1964,40
Senegal,SEN,1964,NA
Serbia,SRB,1964,NA
Sierra Leone,SLE,1964,170
Slovak Republic,SVK,1964,NA
Slovenia,SVN,1964,NA
Sri Lanka,LKA,1964,130
South Africa,ZAF,1964,500
Sudan,SDN,1964,120
Suriname,SUR,1964,NA
Swaziland,SWZ,1964,NA
Sweden,SWE,1964,2740
Tajikistan,TJK,1964,NA
Tanzania,TZA,1964,NA
Thailand,THA,1964,NA
Togo,TGO,1964,100
Tunisia,TUN,1964,NA
Turkmenistan,TKM,1964,NA
Uganda,UGA,1964,NA
Ukraine,UKR,1964,NA
United Arab Emirates,ARE,1964,NA
Uruguay,URY,1964,660
Uzbekistan,UZB,1964,NA
"Venezuela, RB",VEN,1964,1140
Vietnam,VNM,1964,NA
"Yemen, Rep.",YEM,1964,NA
Zambia,ZMB,1964,210
Zimbabwe,ZWE,1964,260
Argentina,ARG,1965,1220
Australia,AUS,1965,2270
Brazil,BRA,1965,270
China,CHN,1965,100
France,FRA,1965,2050
Germany,DEU,1965,NA
India,IND,1965,110
Indonesia,IDN,1965,NA
Italy,ITA,1965,1280
Japan,JPN,1965,890
"Korea, Rep.",KOR,1965,130
Mexico,MEX,1965,470
Netherlands,NLD,1965,1700
Russian Federation,RUS,1965,NA
Saudi Arabia,SAU,1965,NA
Spain,ESP,1965,730
Switzerland,CHE,1965,NA
Turkey,TUR,1965,NA
United Kingdom,GBR,1965,NA
United States,USA,1965,3880
Afghanistan,AFG,1965,NA
Algeria,DZA,1965,240
Albania,ALB,1965,NA
Angola,AGO,1965,NA
Armenia,ARM,1965,NA
Austria,AUT,1965,1340
Azerbaijan,AZE,1965,NA
Bangladesh,BGD,1965,NA
Belarus,BLR,1965,NA
Belgium,BEL,1965,1800
Belize,BLZ,1965,370
Benin,BEN,1965,110
Bolivia,BOL,1965,NA
Bosnia and Herzegovina,BIH,1965,NA
Botswana,BWA,1965,90
Bulgaria,BGR,1965,NA
Burkina Faso,BFA,1965,80
Cambodia,KHM,1965,NA
Cameroon,CMR,1965,NA
Canada,CAN,1965,2670
Central African Republic,CAF,1965,90
Chad,TCD,1965,120
Chile,CHL,1965,650
Colombia,COL,1965,310
"Congo, Rep.",COG,1965,170
Costa Rica,CRI,1965,370
Cote d'Ivoire,CIV,1965,210
Croatia,HRV,1965,NA
Cuba,CUB,1965,NA
Cyprus,CYP,1965,NA
Czech Republic,CZE,1965,NA
Denmark,DNK,1965,NA
Dominican Republic,DOM,1965,230
Ecuador,ECU,1965,280
"Egypt, Arab Rep.",EGY,1965,NA
El Salvador,SLV,1965,NA
Estonia,EST,1965,NA
Ethiopia,ETH,1965,NA
Finland,FIN,1965,1810
"Gambia, The",GMB,1965,NA
Gabon,GAB,1965,370
Georgia,GEO,1965,NA
Ghana,GHA,1965,230
Greece,GRC,1965,890
Guatemala,GTM,1965,290
Guinea,GIN,1965,NA
Guinea-Bissau,GNB,1965,NA
Guyana,GUY,1965,320
Haiti,HTI,1965,NA
Honduras,HND,1965,210
Hungary,HUN,1965,NA
Iceland,ISL,1965,2440
Jamaica,JAM,1965,NA
Jordan,JOR,1965,NA
Kazakhstan,KAZ,1965,NA
Kenya,KEN,1965,110
Kyrgyz Republic,KGZ,1965,NA
Lao PDR,LAO,1965,NA
Latvia,LVA,1965,NA
Lebanon,LBN,1965,NA
Lesotho,LSO,1965,NA
Liberia,LBR,1965,200
Libya,LBY,1965,NA
Lithuania,LTU,1965,NA
Luxembourg,LUX,1965,1920
"Macedonia, FYR",MKD,1965,NA
Malawi,MWI,1965,60
Malaysia,MYS,1965,330
Mali,MLI,1965,NA
Malta,MLT,1965,NA
Mauritania,MRT,1965,NA
Moldova,MDA,1965,NA
Mongolia,MNG,1965,NA
Montenegro,MNE,1965,NA
Morocco,MAR,1965,NA
Mozambique,MOZ,1965,NA
Myanmar,MMR,1965,NA
Namibia,NAM,1965,NA
Nepal,NPL,1965,60
New Zealand,NZL,1965,NA
Nicaragua,NIC,1965,200
Niger,NER,1965,170
Nigeria,NGA,1965,110
Norway,NOR,1965,2050
Pakistan,PAK,1965,110
Panama,PAN,1965,540
Paraguay,PRY,1965,NA
Peru,PER,1965,390
Philippines,PHL,1965,180
Poland,POL,1965,NA
Portugal,PRT,1965,520
Romania,ROM,1965,NA
Rwanda,RWA,1965,40
Senegal,SEN,1965,NA
Serbia,SRB,1965,NA
Sierra Leone,SLE,1965,170
Slovak Republic,SVK,1965,NA
Slovenia,SVN,1965,NA
Sri Lanka,LKA,1965,130
South Africa,ZAF,1965,540
Sudan,SDN,1965,120
Suriname,SUR,1965,NA
Swaziland,SWZ,1965,NA
Sweden,SWE,1965,2960
Tajikistan,TJK,1965,NA
Tanzania,TZA,1965,NA
Thailand,THA,1965,NA
Togo,TGO,1965,110
Tunisia,TUN,1965,NA
Turkmenistan,TKM,1965,NA
Uganda,UGA,1965,NA
Ukraine,UKR,1965,NA
United Arab Emirates,ARE,1965,NA
Uruguay,URY,1965,680
Uzbekistan,UZB,1965,NA
"Venezuela, RB",VEN,1965,1080
Vietnam,VNM,1965,NA
"Yemen, Rep.",YEM,1965,NA
Zambia,ZMB,1965,260
Zimbabwe,ZWE,1965,280
Argentina,ARG,1966,1340
Australia,AUS,1966,2350
Brazil,BRA,1966,270
China,CHN,1966,110
France,FRA,1966,2220
Germany,DEU,1966,NA
India,IND,1966,110
Indonesia,IDN,1966,NA
Italy,ITA,1966,1410
Japan,JPN,1966,1030
"Korea, Rep.",KOR,1966,130
Mexico,MEX,1966,500
Netherlands,NLD,1966,1840
Russian Federation,RUS,1966,NA
Saudi Arabia,SAU,1966,NA
Spain,ESP,1966,840
Switzerland,CHE,1966,NA
Turkey,TUR,1966,NA
United Kingdom,GBR,1966,NA
United States,USA,1966,4200
Afghanistan,AFG,1966,NA
Algeria,DZA,1966,230
Albania,ALB,1966,NA
Angola,AGO,1966,NA
Armenia,ARM,1966,NA
Austria,AUT,1966,1470
Azerbaijan,AZE,1966,NA
Bangladesh,BGD,1966,NA
Belarus,BLR,1966,NA
Belgium,BEL,1966,1950
Belize,BLZ,1966,390
Benin,BEN,1966,110
Bolivia,BOL,1966,NA
Bosnia and Herzegovina,BIH,1966,NA
Botswana,BWA,1966,90
Bulgaria,BGR,1966,NA
Burkina Faso,BFA,1966,80
Cambodia,KHM,1966,NA
Cameroon,CMR,1966,NA
Canada,CAN,1966,2920
Central African Republic,CAF,1966,90
Chad,TCD,1966,120
Chile,CHL,1966,740
Colombia,COL,1966,320
"Congo, Rep.",COG,1966,170
Costa Rica,CRI,1966,400
Cote d'Ivoire,CIV,1966,230
Croatia,HRV,1966,NA
Cuba,CUB,1966,NA
Cyprus,CYP,1966,NA
Czech Republic,CZE,1966,NA
Denmark,DNK,1966,NA
Dominican Republic,DOM,1966,250
Ecuador,ECU,1966,350
"Egypt, Arab Rep.",EGY,1966,NA
El Salvador,SLV,1966,NA
Estonia,EST,1966,NA
Ethiopia,ETH,1966,NA
Finland,FIN,1966,1970
"Gambia, The",GMB,1966,NA
Gabon,GAB,1966,420
Georgia,GEO,1966,NA
Ghana,GHA,1966,250
Greece,GRC,1966,980
Guatemala,GTM,1966,290
Guinea,GIN,1966,NA
Guinea-Bissau,GNB,1966,NA
Guyana,GUY,1966,330
Haiti,HTI,1966,NA
Honduras,HND,1966,220
Hungary,HUN,1966,NA
Iceland,ISL,1966,2980
Jamaica,JAM,1966,NA
Jordan,JOR,1966,NA
Kazakhstan,KAZ,1966,NA
Kenya,KEN,1966,120
Kyrgyz Republic,KGZ,1966,NA
Lao PDR,LAO,1966,NA
Latvia,LVA,1966,NA
Lebanon,LBN,1966,NA
Lesotho,LSO,1966,80
Liberia,LBR,1966,210
Libya,LBY,1966,NA
Lithuania,LTU,1966,NA
Luxembourg,LUX,1966,2020
"Macedonia, FYR",MKD,1966,NA
Malawi,MWI,1966,60
Malaysia,MYS,1966,350
Mali,MLI,1966,NA
Malta,MLT,1966,NA
Mauritania,MRT,1966,NA
Moldova,MDA,1966,NA
Mongolia,MNG,1966,NA
Montenegro,MNE,1966,NA
Morocco,MAR,1966,NA
Mozambique,MOZ,1966,NA
Myanmar,MMR,1966,NA
Namibia,NAM,1966,NA
Nepal,NPL,1966,70
New Zealand,NZL,1966,NA
Nicaragua,NIC,1966,230
Niger,NER,1966,170
Nigeria,NGA,1966,110
Norway,NOR,1966,2240
Pakistan,PAK,1966,120
Panama,PAN,1966,580
Paraguay,PRY,1966,NA
Peru,PER,1966,460
Philippines,PHL,1966,200
Poland,POL,1966,NA
Portugal,PRT,1966,570
Romania,ROM,1966,NA
Rwanda,RWA,1966,40
Senegal,SEN,1966,NA
Serbia,SRB,1966,NA
Sierra Leone,SLE,1966,170
Slovak Republic,SVK,1966,NA
Slovenia,SVN,1966,NA
Sri Lanka,LKA,1966,150
South Africa,ZAF,1966,570
Sudan,SDN,1966,120
Suriname,SUR,1966,NA
Swaziland,SWZ,1966,NA
Sweden,SWE,1966,3190
Tajikistan,TJK,1966,NA
Tanzania,TZA,1966,NA
Thailand,THA,1966,NA
Togo,TGO,1966,120
Tunisia,TUN,1966,NA
Turkmenistan,TKM,1966,NA
Uganda,UGA,1966,NA
Ukraine,UKR,1966,NA
United Arab Emirates,ARE,1966,NA
Uruguay,URY,1966,720
Uzbekistan,UZB,1966,NA
"Venezuela, RB",VEN,1966,1000
Vietnam,VNM,1966,NA
"Yemen, Rep.",YEM,1966,NA
Zambia,ZMB,1966,270
Zimbabwe,ZWE,1966,290
Argentina,ARG,1967,1230
Australia,AUS,1967,2540
Brazil,BRA,1967,310
China,CHN,1967,100
France,FRA,1967,2370
Germany,DEU,1967,NA
India,IND,1967,110
Indonesia,IDN,1967,NA
Italy,ITA,1967,1550
Japan,JPN,1967,1200
"Korea, Rep.",KOR,1967,140
Mexico,MEX,1967,540
Netherlands,NLD,1967,2000
Russian Federation,RUS,1967,NA
Saudi Arabia,SAU,1967,NA
Spain,ESP,1967,930
Switzerland,CHE,1967,NA
Turkey,TUR,1967,470
United Kingdom,GBR,1967,NA
United States,USA,1967,4380
Afghanistan,AFG,1967,NA
Algeria,DZA,1967,250
Albania,ALB,1967,NA
Angola,AGO,1967,NA
Armenia,ARM,1967,NA
Austria,AUT,1967,1560
Azerbaijan,AZE,1967,NA
Bangladesh,BGD,1967,NA
Belarus,BLR,1967,NA
Belgium,BEL,1967,2100
Belize,BLZ,1967,420
Benin,BEN,1967,120
Bolivia,BOL,1967,NA
Bosnia and Herzegovina,BIH,1967,NA
Botswana,BWA,1967,100
Bulgaria,BGR,1967,NA
Burkina Faso,BFA,1967,90
Cambodia,KHM,1967,NA
Cameroon,CMR,1967,110
Canada,CAN,1967,3080
Central African Republic,CAF,1967,100
Chad,TCD,1967,130
Chile,CHL,1967,760
Colombia,COL,1967,300
"Congo, Rep.",COG,1967,190
Costa Rica,CRI,1967,410
Cote d'Ivoire,CIV,1967,230
Croatia,HRV,1967,NA
Cuba,CUB,1967,NA
Cyprus,CYP,1967,NA
Czech Republic,CZE,1967,NA
Denmark,DNK,1967,NA
Dominican Republic,DOM,1967,250
Ecuador,ECU,1967,470
"Egypt, Arab Rep.",EGY,1967,160
El Salvador,SLV,1967,290
Estonia,EST,1967,NA
Ethiopia,ETH,1967,NA
Finland,FIN,1967,2060
"Gambia, The",GMB,1967,NA
Gabon,GAB,1967,440
Georgia,GEO,1967,NA
Ghana,GHA,1967,250
Greece,GRC,1967,1070
Guatemala,GTM,1967,300
Guinea,GIN,1967,NA
Guinea-Bissau,GNB,1967,NA
Guyana,GUY,1967,340
Haiti,HTI,1967,NA
Honduras,HND,1967,230
Hungary,HUN,1967,NA
Iceland,ISL,1967,3110
Jamaica,JAM,1967,NA
Jordan,JOR,1967,NA
Kazakhstan,KAZ,1967,NA
Kenya,KEN,1967,120
Kyrgyz Republic,KGZ,1967,NA
Lao PDR,LAO,1967,NA
Latvia,LVA,1967,NA
Lebanon,LBN,1967,NA
Lesotho,LSO,1967,80
Liberia,LBR,1967,220
Libya,LBY,1967,NA
Lithuania,LTU,1967,NA
Luxembourg,LUX,1967,2070
"Macedonia, FYR",MKD,1967,NA
Malawi,MWI,1967,70
Malaysia,MYS,1967,360
Mali,MLI,1967,NA
Malta,MLT,1967,NA
Mauritania,MRT,1967,NA
Moldova,MDA,1967,NA
Mongolia,MNG,1967,NA
Montenegro,MNE,1967,NA
Morocco,MAR,1967,NA
Mozambique,MOZ,1967,NA
Myanmar,MMR,1967,NA
Namibia,NAM,1967,NA
Nepal,NPL,1967,80
New Zealand,NZL,1967,NA
Nicaragua,NIC,1967,290
Niger,NER,1967,170
Nigeria,NGA,1967,100
Norway,NOR,1967,2470
Pakistan,PAK,1967,130
Panama,PAN,1967,620
Paraguay,PRY,1967,NA
Peru,PER,1967,490
Philippines,PHL,1967,210
Poland,POL,1967,NA
Portugal,PRT,1967,640
Romania,ROM,1967,NA
Rwanda,RWA,1967,50
Senegal,SEN,1967,NA
Serbia,SRB,1967,NA
Sierra Leone,SLE,1967,160
Slovak Republic,SVK,1967,NA
Slovenia,SVN,1967,NA
Sri Lanka,LKA,1967,160
South Africa,ZAF,1967,620
Sudan,SDN,1967,120
Suriname,SUR,1967,NA
Swaziland,SWZ,1967,NA
Sweden,SWE,1967,3460
Tajikistan,TJK,1967,NA
Tanzania,TZA,1967,NA
Thailand,THA,1967,170
Togo,TGO,1967,120
Tunisia,TUN,1967,220
Turkmenistan,TKM,1967,NA
Uganda,UGA,1967,NA
Ukraine,UKR,1967,NA
United Arab Emirates,ARE,1967,NA
Uruguay,URY,1967,640
Uzbekistan,UZB,1967,NA
"Venezuela, RB",VEN,1967,1020
Vietnam,VNM,1967,NA
"Yemen, Rep.",YEM,1967,NA
Zambia,ZMB,1967,320
Zimbabwe,ZWE,1967,300
Argentina,ARG,1968,1210
Australia,AUS,1968,2730
Brazil,BRA,1968,370
China,CHN,1968,90
France,FRA,1968,2570
Germany,DEU,1968,NA
India,IND,1968,100
Indonesia,IDN,1968,NA
Italy,ITA,1968,1700
Japan,JPN,1968,1430
"Korea, Rep.",KOR,1968,180
Mexico,MEX,1968,600
Netherlands,NLD,1968,2230
Russian Federation,RUS,1968,NA
Saudi Arabia,SAU,1968,NA
Spain,ESP,1968,1010
Switzerland,CHE,1968,NA
Turkey,TUR,1968,520
United Kingdom,GBR,1968,NA
United States,USA,1968,4750
Afghanistan,AFG,1968,NA
Algeria,DZA,1968,280
Albania,ALB,1968,NA
Angola,AGO,1968,NA
Armenia,ARM,1968,NA
Austria,AUT,1968,1680
Azerbaijan,AZE,1968,NA
Bangladesh,BGD,1968,NA
Belarus,BLR,1968,NA
Belgium,BEL,1968,2270
Belize,BLZ,1968,420
Benin,BEN,1968,120
Bolivia,BOL,1968,NA
Bosnia and Herzegovina,BIH,1968,NA
Botswana,BWA,1968,110
Bulgaria,BGR,1968,NA
Burkina Faso,BFA,1968,90
Cambodia,KHM,1968,NA
Cameroon,CMR,1968,130
Canada,CAN,1968,3370
Central African Republic,CAF,1968,100
Chad,TCD,1968,130
Chile,CHL,1968,770
Colombia,COL,1968,310
"Congo, Rep.",COG,1968,200
Costa Rica,CRI,1968,450
Cote d'Ivoire,CIV,1968,260
Croatia,HRV,1968,NA
Cuba,CUB,1968,NA
Cyprus,CYP,1968,NA
Czech Republic,CZE,1968,NA
Denmark,DNK,1968,NA
Dominican Republic,DOM,1968,250
Ecuador,ECU,1968,470
"Egypt, Arab Rep.",EGY,1968,170
El Salvador,SLV,1968,300
Estonia,EST,1968,NA
Ethiopia,ETH,1968,NA
Finland,FIN,1968,2090
"Gambia, The",GMB,1968,110
